plan	we	wf	wu
TP-1065864	0.000	47152.868	12678.680
TP-1065896	184.034	7404.111	0.000
TP-1254782	-	-	-
TP-1254801	0.000	46.397	0.000
TP-1254807	133.869	2065.722	948.913
TP-1254829	1173833.961	17602312.589	0.000
TP-1254832	0.000	1258.812	12.038
TP-1256854	0.000	18518.519	0.000
TP-1256856	7030.252	978.615	0.500
TP-1272733	0.000	1067.452	51.535
TP-1273690	0.000	22.540	51.490
TP-1304023	0.000	0.491	1871.439
TP-1334460	0.000	28.338	0.000
TP-1359793	2914.047	10519.174	668.339
TP-1368431	1635.404	163.804	1308380.903
TP-1369041	3819.625	2131.804	604.151
TP-1369044	0.000	3297.858	217.034
TP-1380125	0.000	215.796	235264.802
TP-1380127	0.000	1751.348	114.537
TP-1386292	368.850	11600.181	258.978
TP-1389026	0.000	35.690	2714.634
TP-1389211	0.000	2365.024	126.463
TP-1401632	0.000	20313.730	2511.426
TP-1408653	0.000	22038.138	1988.321
